threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0001,0.1,200,0,0.29285411332753264,0.29285411332753264,0.2005256716606293,0.2005256716606293,0.02069957476957942,0.0613127788651326,12188
0.001,0.5,50,0,0.20881616514610388,0.20881616514610388,0.19662410953380127,0.19662410953380127,0.021403766361630917,0.013917700396972899,12188
0.001,0.5,100,0,0.3382949152599664,0.3382949152599664,0.19654015383175255,0.19654015383175255,0.04130832234430683,0.026804023015472078,12188
0.0002,0.1,200,0,0.28476415648453013,0.28476415648453013,0.1950083481064126,0.1950083481064126,0.020493071466406183,0.06135949534806016,12188
0.001,0.3,500,0,0.5737456531882135,0.5737456531882135,0.19163516494701502,0.19163516494701502,0.08592463510697008,0.0868818554989216,12188
0.0015,0.5,200,0,0.46882410773789385,0.46882410773789385,0.18908997326112384,0.18908997326112384,0.05640095189115759,0.03596681640951891,12188
0.0015,0.5,50,0,0.1959993000537976,0.1959993000537976,0.1855395976436245,0.1855395976436245,0.016457377188465218,0.010629265850919561,12188
0.0,0.1,100,0,0.17468439063280267,0.17468439063280267,0.18428988294615398,0.18428988294615398,0.010951922832799459,0.032874285384807134,12188
0.0001,0.1,100,0,0.17413612682237248,0.17413612682237248,0.18369439189735878,0.18369439189735878,0.010952226304461965,0.032818221533836844,12188
0.001,0.3,50,0,0.15542789056746792,0.15542789056746792,0.1835270203132539,0.1835270203132539,0.012636287738750003,0.013296683181873154,12188
0.0015,0.5,100,0,0.31272741619723987,0.31272741619723987,0.18331129472894797,0.18331129472894797,0.031440166877098406,0.020245033555511216,12188
0.001,0.3,200,0,0.3828808006797656,0.3828808006797656,0.18206843972986642,0.18206843972986642,0.044965200960944834,0.04672296722641654,12188
0.0,0.1,50,0,0.10005087362403929,0.10005087362403929,0.18097027207827218,0.18097027207827218,0.005611205740263388,0.016880408148369795,12188
0.0001,0.1,50,0,0.09977673494607317,0.09977673494607317,0.18045304934692993,0.18045304934692993,0.005611324207395846,0.01685241215401812,12188
0.0002,0.1,100,0,0.17009020346787007,0.17009020346787007,0.17943745509160547,0.17943745509160547,0.010850828379154088,0.03284883455962397,12188
0.001,0.3,100,0,0.25234564830751816,0.25234564830751816,0.1791678532249516,0.1791678532249516,0.024404947085782582,0.025621571111044652,12188
0.0005,0.1,200,0,0.26206851638348233,0.26206851638348233,0.17870222934097457,0.17870222934097457,0.01897758285178131,0.057259103400864625,12188
0.0015,0.3,500,0,0.5074389160407825,0.5074389160407825,0.1783298777010634,0.1783298777010634,0.05937539960962469,0.05951292567242345,12188
0.0002,0.1,50,0,0.09775365510361188,0.09775365510361188,0.17680292447651652,0.17680292447651652,0.005560855563132153,0.016868702048563562,12188
0.0015,0.3,50,0,0.14822200472833524,0.14822200472833524,0.17581374462901309,0.17581374462901309,0.009819961281389945,0.010262579537947245,12188
0.001,0.2,50,0,0.12554483152010312,0.12554483152010312,0.17528203121419908,0.17528203121419908,0.0084021452340068,0.012942591476171677,12188
0.002,1.0,50,0,0.24067077067560486,0.24067077067560486,0.17245380414454506,0.17245380414454506,0.02685556380646499,0.008816428922263421,12188
0.001,0.2,500,0,0.4483979542962335,0.4483979542962335,0.17245250014072727,0.17245250014072727,0.057078767360804486,0.08424360461761006,12188
0.003,1.0,50,0,0.23276442359270744,0.23276442359270744,0.17242463858355483,0.17242463858355483,0.01663181191547477,0.005503733412047161,12188
0.0015,0.3,200,0,0.35443302744851907,0.35443302744851907,0.17172608907727885,0.17172608907727885,0.03377523803491739,0.034777858702791785,12188
0.0015,0.3,100,0,0.23797186694003236,0.23797186694003236,0.17046048425725696,0.17046048425725696,0.018779874772255647,0.019572039527787754,12188
0.0015,0.2,50,0,0.12166160224550523,0.12166160224550523,0.170457156526318,0.170457156526318,0.006574774913929965,0.010051876273808385,12188
0.001,0.2,100,0,0.2038595079997725,0.2038595079997725,0.16895632240957476,0.16895632240957476,0.016234244168797853,0.024953220716789976,12188
0.003,1.0,200,0,0.4877920833833836,0.4877920833833836,0.16848241439719142,0.16848241439719142,0.04923208494473904,0.01621384319261564,12188
